tellimus_id,klient_id,kuupäev,staatus,makseviis,tarneviis
3035,24,2025-11-10,Täidetud,Arve,Tulen ise järele
3036,6,2025-11-22,Täidetud,Krediitkaart,Tulen ise järele
3037,17,2025-11-26,Täidetud,Apple Pay,Tulen ise järele
3038,7,2025-12-20,Täidetud,Apple Pay,Pakiautomaat
3039,24,2025-12-21,Täidetud,Pangalink,Kuller
3040,18,2025-12-23,Ootel,Arve,Pakiautomaat
1031,29,2026-08-11,Täidetud,Apple Pay,Pakiautomaat
1032,21,2026-08-15,Täidetud,Apple Pay,Pakiautomaat
1033,20,2026-08-17,Täidetud,Pangalink,Kuller
1034,28,2026-08-22,Täidetud,Arve,Pakiautomaat
1035,11,2026-08-23,Tühistatud,Arve,Kuller
1036,20,2026-08-27,Täidetud,Pangalink,Pakiautomaat
1037,4,2026-08-29,Täidetud,Apple Pay,Pakiautomaat
1038,6,2026-09-03,Täidetud,Apple Pay,Kuller
1039,17,2026-09-08,Täidetud,Apple Pay,Tulen ise järele
1040,17,2026-09-16,Täidetud,Apple Pay,Kuller
1041,26,2026-09-16,Täidetud,Apple Pay,Pakiautomaat
1042,1,2026-09-28,Täidetud,Krediitkaart,Tulen ise järele
1043,8,2026-10-06,Ootel,Pangalink,Tulen ise järele
1044,22,2026-10-07,Ootel,Arve,Kuller
1045,23,2026-10-09,Täidetud,Krediitkaart,Kuller
1046,7,2026-10-09,Täidetud,Arve,Kuller
1047,2,2026-10-11,Täidetud,Pangalink,Pakiautomaat
1048,21,2026-10-15,Täidetud,Arve,Pakiautomaat
1049,2,2026-10-23,Täidetud,Arve,Kuller
1050,20,2026-10-24,Täidetud,Apple Pay,Pakiautomaat
1051,15,2026-11-07,Täidetud,Krediitkaart,Kuller
1052,15,2026-11-12,Täidetud,Apple Pay,Kuller
1053,11,2026-11-17,Tühistatud,Apple Pay,Pakiautomaat
1054,2,2026-11-17,Täidetud,Krediitkaart,Kuller
1055,6,2026-12-05,Täidetud,Apple Pay,Tulen ise järele
1056,3,2026-12-10,Ootel,Apple Pay,Pakiautomaat
1057,8,2026-12-10,Tühistatud,Pangalink,Pakiautomaat
1058,9,2026-12-11,Täidetud,Krediitkaart,Tulen ise järele
1059,19,2026-12-16,Täidetud,Arve,Pakiautomaat
1060,10,2026-12-25,Täidetud,Krediitkaart,Pakiautomaat
